IncidentType,Location,ReportedTime,IncidentStart,IncidentEnd,CaseNumber,Disposition
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,CITY OF OXFORD : SPRING ST,1/1/2016 0151,1/1/2016 0151,1/1/2016 0151,2016-000001,CLOSED.  CLEARED BY ARREST
TRAFFIC LAW VIOLATION : OPERATING A VEHICLE UNDER THE INFLUENCE,CITY OF OXFORD : SPRING ST,1/1/2016 0151,1/1/2016 0151,1/1/2016 0151,2016-000001,CLOSED.  CLEARED BY ARREST
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : COLE SERVICE BLDG,1/1/2016 0613,1/1/2016 0613,1/1/2016 0613,2016-000002,CLOSED
THEFT : OF A MOTOR VEHICLE,MIAMI UNIVERSITY : OXFORD CAMPUS : MIAMI INN,1/3/2016 1649,12/23/2015 1700,12/26/2015 0900,2016-000003,CLOSED
DOMESTIC VIOLENCE,CITY OF OXFORD : COLLEGE AVE,1/3/2016 2053,1/3/2016 2053,1/3/2016 2053,2016-000004,CLOSED.  CLEARED BY ARREST
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : ALUMNI HALL,1/5/2016 0711,1/5/2016 0711,1/5/2016 0711,2016-000006,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : ALUMNI HALL,1/6/2016 0741,1/6/2016 0741,1/6/2016 0741,2016-000007,CLOSED
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : MILLETT ASSEMBLY HALL,1/6/2016 1104,1/6/2016 1100,1/6/2016 1300,2016-000008,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : ALUMNI HALL,1/7/2016 0749,1/7/2016 0749,1/7/2016 0749,2016-000010,CLOSED
DRUG VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : THOMSON HALL,1/7/2016 2031,1/7/2016 2031,1/7/2016 2031,2016-000011,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : MORRIS HALL,1/7/2016 2130,1/7/2016 2130,1/7/2016 2140,2016-000009,CLOSED
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,1/8/2016 0824,1/7/2016 1900,1/8/2016 0824,2016-000012,CLOSED
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : GOGGIN ICE CENTER,1/8/2016 1401,1/8/2016 1401,1/8/2016 1500,2016-000013,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : OGDEN HALL,1/8/2016 2053,1/8/2016 2053,1/8/2016 2130,2016-000014,CLOSED
DISORDERLY CONDUCT,CITY OF OXFORD : CHURCH ST,1/9/2016 0224,1/9/2016 0224,1/9/2016 0224,2016-000015,CLOSED.  CLEARED BY ARREST
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : ART MUSEUM,1/10/2016 0755,1/10/2016 0755,1/10/2016 0755,2016-000016,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : 5285 BROWN ROAD,1/11/2016 0809,1/11/2016 0809,1/11/2016 0809,2016-000017,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : BACHELOR HALL,1/11/2016 1531,1/11/2016 1531,1/11/2016 1531,2016-000018,CLOSED
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : MILLETT ASSEMBLY HALL,1/13/2016 1517,1/13/2016 1515,1/13/2016 1620,2016-000020,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : WRA CABIN,1/13/2016 1555,1/13/2016 1555,1/13/2016 1555,2016-000019,CLOSED
TRAFFIC CRASH,CITY OF OXFORD : OAK ST,1/14/2016 1536,1/14/2016 1536,1/14/2016 1536,2016-000021,CLOSED
SUSPICIOUS ACTIVITY,MIAMI UNIVERSITY : OXFORD CAMPUS : PEFFER MEMORIAL PARK,1/14/2016 2011,1/14/2016 2011,1/14/2016 2011,2016-000022,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : KING LIBRARY,1/15/2016 0041,1/15/2016 0041,1/15/2016 0041,2016-000023,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/15/2016 1016,1/15/2016 1016,1/15/2016 1300,2016-000024,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/15/2016 1620,1/15/2016 1620,1/15/2016 1645,2016-000040,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : KING LIBRARY,1/15/2016 1800,1/15/2016 1800,1/15/2016 1800,2016-000025,CLOSED
LITTERING,CITY OF OXFORD : COLLEGE AVE,1/16/2016 0243,1/16/2016 0243,1/16/2016 0243,2016-000026,CLOSED.  UTT/UTC ISSUED.
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : ARMSTRONG STUDENT CENTER,1/16/2016 0350,1/16/2016 0350,1/16/2016 0350,2016-000027,CLOSED
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : SWING HALL,1/16/2016 2303,1/16/2016 2303,1/16/2016 2303,2016-000028,CLOSED.  CLEARED BY SUMMONS
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : EVANS SCHOLARS,1/16/2016 2356,1/16/2016 1200,1/16/2016 2000,2016-000029,OPEN
TRAFFIC LAW VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : WESTERN DRIVE,1/17/2016 0226,1/17/2016 0226,1/17/2016 0226,2016-000030,CLOSED.  UTT/UTC ISSUED.
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : ARMSTRONG STUDENT CENTER,1/17/2016 0429,1/17/2016 0429,1/17/2016 0429,2016-000031,CLOSED
TRAFFIC LAW VIOLATION,CITY OF OXFORD : PATTERSON AVE,1/17/2016 0607,1/17/2016 0607,1/17/2016 0607,2016-000032,CLOSED.  UTT/UTC ISSUED.
INFORMATION,OTHER JURISDICTION,1/17/2016 1253,1/16/2016 1600,1/17/2016 1253,2016-000033,CLOSED. REFERRED TO OTHER LE AGENCY
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : ART MUSEUM,1/17/2016 1556,1/17/2016 1556,1/17/2016 1556,2016-000034,CLOSED
MISSING PERSON,MIAMI UNIVERSITY : OXFORD CAMPUS : COLLINS HALL,1/17/2016 2310,1/15/2016 0130,1/17/2016 2310,2016-000035,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : IRVIN HALL,1/18/2016 1323,1/18/2016 1323,1/18/2016 1323,2016-000036,CLOSED
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,1/18/2016 1539,1/18/2016 1539,1/18/2016 1633,2016-000037,CLOSED.  CLEARED BY SUMMONS
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : PINES LODGE,1/18/2016 2148,1/18/2016 2148,1/18/2016 2148,2016-000038,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/19/2016 0908,1/19/2016 0908,1/19/2016 0918,2016-000039,CLOSED
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : MILLETT ASSEMBLY HALL,1/19/2016 1322,1/19/2016 1322,1/19/2016 1450,2016-000042,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/19/2016 1405,1/19/2016 1405,1/19/2016 1435,2016-000041,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : ALUMNI HALL,1/19/2016 1522,1/19/2016 1522,1/19/2016 1522,2016-000043,CLOSED
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : MILLETT ASSEMBLY HALL,1/20/2016 1436,1/20/2016 1430,1/20/2016 1525,2016-000044,CLOSED
