IncidentType,Location,ReportedTime,IncidentStart,IncidentEnd,CaseNumber,Disposition
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : SYMMES HALL,1/1/2018 2129,1/1/2018 2129,1/1/2018 2129,2018-000001,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/2/2018 0741,12/30/2017 1513,12/30/2017 1513,2018-000002,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HEALTH SERVICES CENTER,1/2/2018 1247,1/2/2018 1247,1/2/2018 1247,2018-000003,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : OGDEN HALL,1/2/2018 1736,1/2/2018 1736,1/2/2018 1756,2018-000004,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : ARMSTRONG STUDENT CENTER,1/3/2018 1115,1/3/2018 1115,1/3/2018 1115,2018-000005,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : ARMSTRONG STUDENT CENTER,1/3/2018 1708,1/3/2018 1710,1/3/2018 1710,2018-000006,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : PEABODY HALL,1/4/2018 0637,1/4/2018 0637,1/4/2018 0637,2018-000007,CLOSED
MEDICAL : EMERGENCY,MIAMI UNIVERSITY : OXFORD CAMPUS : COLE SERVICE BLDG,1/4/2018 1326,1/4/2018 1326,1/4/2018 1326,2018-000008,CLOSED
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : GOGGIN ICE CENTER,1/5/2018 1501,1/5/2018 1501,1/5/2018 1600,2018-000009,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : NON CAMPUS PROPERTY : OFF SITE LOCATION,1/6/2018 0541,1/5/2018 1600,1/5/2018 2300,2018-000010,CLOSED. REFERRED TO OTHER LE AGENCY
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : MILLETT ASSEMBLY HALL,1/6/2018 1110,1/6/2018 1100,1/6/2018 1645,2018-000011,CLOSED
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : GOGGIN ICE CENTER,1/6/2018 1705,1/6/2018 1700,1/6/2018 2145,2018-000012,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : KING LIBRARY,1/6/2018 1930,1/6/2018 1930,1/6/2018 1935,2018-000013,CLOSED
WARRANT SERVICE,MIAMI UNIVERSITY : OXFORD CAMPUS : FARMER SCHOOL OF BUSINESS,1/7/2018 1041,1/7/2018 1041,1/7/2018 1041,2018-000014,CLOSED.  ARREST MADE BY OTHER LE AGENCY
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : KING LIBRARY,1/14/2018 0916,1/14/2018 0916,1/14/2018 0916,2018-000016,CLOSED
WELFARE CHECK,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS : FISHER HALL,1/16/2018 0220,1/16/2018 0220,1/16/2018 0321,2018-000017,CLOSED
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : MILLETT ASSEMBLY HALL,1/16/2018 1549,1/16/2018 1600,1/16/2018 2130,2018-000019,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,1/16/2018 1618,12/15/2017 1800,1/7/2018 2130,2018-000018,OPEN
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : MACCRACKEN HALL,1/17/2018 1036,1/17/2018 1036,1/17/2018 1036,2018-000020,CLOSED
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : MILLETT ASSEMBLY HALL,1/17/2018 1602,1/17/2018 1600,1/17/2018 1700,2018-000021,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : COLE SERVICE BLDG,1/17/2018 1901,1/17/2018 1830,1/17/2018 1900,2018-000022,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : BOYD HALL,1/18/2018 0508,1/18/2018 0508,1/18/2018 0516,2018-000023,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : WESTERN DRIVE,1/18/2018 0943,1/15/2018 0730,1/15/2018 0730,2018-000024,CLOSED
TRAFFIC CRASH,CITY OF OXFORD : SPRING ST,1/18/2018 1019,1/18/2018 1015,1/18/2018 1108,2018-000025,CLOSED.  UTT/UTC ISSUED.
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : KING LIBRARY,1/19/2018 0049,1/19/2018 0050,1/19/2018 0101,2018-000026,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : KING LIBRARY,1/19/2018 0049,1/19/2018 0050,1/19/2018 0101,2018-000026,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : GOGGIN ICE CENTER,1/21/2018 0946,1/21/2018 0946,1/21/2018 0946,2018-000027,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : SYMMES HALL,1/21/2018 1410,1/21/2018 1230,1/21/2018 1324,2018-000028,OPEN
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : BISHOP WOODS,1/22/2018 0858,1/22/2018 0858,1/22/2018 0858,2018-000029,CLOSED
SUSPICIOUS ACTIVITY,CITY OF OXFORD : BONHAM RD,1/23/2018 0118,1/23/2018 0118,1/23/2018 0228,2018-000030,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : KING LIBRARY,1/24/2018 0019,1/24/2018 0019,1/24/2018 0023,2018-000032,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : LAWS HALL,1/25/2018 2337,1/25/2018 2337,1/25/2018 2337,2018-000035,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : BOYD HALL,1/26/2018 0220,1/26/2018 0220,1/26/2018 0229,2018-000036,CLOSED
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HILLCREST HALL,1/26/2018 1051,1/26/2018 1051,1/26/2018 1127,2018-000037,CLOSED
TRAFFIC LAW VIOLATION : OPERATING A VEHICLE UNDER THE INFLUENCE,CITY OF OXFORD : OXFORD TRENTON  RD SR73,1/26/2018 2256,1/26/2018 2256,1/26/2018 2256,2018-000038,CLOSED.  CLEARED BY ARREST
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : MILLETT ASSEMBLY HALL,1/27/2018 1142,1/27/2018 1130,1/27/2018 1745,2018-000039,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : HEPBURN HALL,1/27/2018 1823,1/27/2018 1823,1/27/2018 1900,2018-000040,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,1/27/2018 2002,1/27/2018 2002,1/27/2018 2002,2018-000041,CLOSED
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,1/27/2018 2011,1/27/2018 2011,1/27/2018 2011,2018-000042,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,1/27/2018 2011,1/27/2018 2011,1/27/2018 2011,2018-000042,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : EVANS SCHOLARS,1/28/2018 0421,1/28/2018 0421,1/28/2018 0421,2018-000043,CLOSED. REFERRED TO OTHER LE AGENCY
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : STONEBRIDGE HALL,1/28/2018 1941,1/28/2018 1941,1/28/2018 1941,2018-000044,CLOSED.  CLEARED BY SUMMONS
