IncidentType,Location,ReportedTime,IncidentStart,IncidentEnd,CaseNumber,Disposition
ALARM,CITY OF OXFORD : LYNN AVE,1/1/2020 0112,1/1/2020 0112,1/20/2020 0130,2020-000001,CLOSED
VANDALISM,MIAMI UNIVERSITY : OXFORD CAMPUS : NELLIE CRAIG WALKER HALL (FKA CAMPUS AVENUE BLDG),1/1/2020 1520,12/31/2019 1300,1/1/2020 1519,2020-000002,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : THOMSON HALL,1/2/2020 0234,1/2/2020 0234,1/2/2020 0234,2020-000003,CLOSED.  CLEARED BY SUMMONS
MAKING FALSE ALARMS,MIAMI UNIVERSITY : OXFORD CAMPUS : THOMSON HALL,1/2/2020 0234,1/2/2020 0234,1/2/2020 0234,2020-000003,CLOSED.  CLEARED BY SUMMONS
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : THOMSON HALL,1/2/2020 0234,1/2/2020 0234,1/2/2020 0234,2020-000003,CLOSED.  CLEARED BY SUMMONS
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : COLE SERVICE BLDG,1/2/2020 0339,1/2/2020 0339,1/2/2020 0339,2020-000004,CLOSED
MEDICAL : ASSIST,MIAMI UNIVERSITY : OXFORD CAMPUS : ROUDEBUSH HALL,1/2/2020 1402,1/2/2020 1402,1/2/2020 1402,2020-000005,CLOSED
SUSPICIOUS ACTIVITY,MIAMI UNIVERSITY : OXFORD CAMPUS : ROUDEBUSH HALL,1/2/2020 1402,1/2/2020 1402,1/2/2020 1402,2020-000005,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : GOGGIN ICE CENTER,1/2/2020 1443,1/2/2020 1443,1/2/2020 1443,2020-000006,CLOSED
SEX OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS,1/2/2020 1639,8/26/2019 0000,12/13/2019 0000,2020-000013,OPEN
SEX OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS,1/3/2020 1203,11/29/2018 0000,12/14/2018 2359,2020-000016,OPEN
DATING VIOLENCE,MIAMI UNIVERSITY : OXFORD CAMPUS,1/3/2020 1203,11/29/2018 0000,12/14/2018 2359,2020-000016,OPEN
ALARM,CITY OF OXFORD : VINE ST,1/4/2020 0134,1/4/2020 0134,1/4/2020 0134,2020-000007,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/5/2020 0927,12/20/2019 0745,1/1/2020 0900,2020-000008,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/5/2020 0928,12/16/2019 1300,1/5/2020 1250,2020-000010,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/5/2020 0928,12/2/2019 1400,1/13/2020 1400,2020-000009,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/5/2020 0929,12/14/2019 1300,1/5/2020 1500,2020-000011,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : HIESTAND HALL,1/6/2020 0529,12/20/2019 1100,1/6/2020 0315,2020-000012,UNFOUNDED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : HIESTAND HALL,1/6/2020 0529,12/20/2019 1100,1/6/2020 0315,2020-000012,UNFOUNDED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/6/2020 0908,12/11/2019 1300,1/8/2020 1000,2020-000014,CLOSED
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : CAMPUS AVENUE PARKING GARAGE,1/6/2020 1004,1/3/2020 1500,1/6/2020 0900,2020-000015,OPEN
SEX OFFENSE (Count 1),MIAMI UNIVERSITY : OXFORD CAMPUS,1/6/2020 1551,8/26/2019 0000,12/13/2019 0000,2020-000017,OPEN
