IncidentType,Location,ReportedTime,IncidentStart,IncidentEnd,CaseNumber,Disposition
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : WILSON HALL,1/1/2019 0043,1/1/2019 0043,1/1/2019 0100,2019-000002,CLOSED
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,CITY OF OXFORD : PATTERSON AVE,1/1/2019 0130,1/1/2019 0130,1/1/2019 0130,2019-000001,CLOSED.  CLEARED BY SUMMONS
CRIMINAL MISCHIEF,MIAMI UNIVERSITY : OXFORD CAMPUS : HERITAGE COMMONS,1/1/2019 1009,1/1/2019 0145,1/1/2019 1000,2019-000003,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,1/2/2019 1347,8/15/2018 0800,1/2/2019 0800,2019-000005,CLOSED
TRAFFIC LAW VIOLATION,CITY OF OXFORD : PATTERSON AVE,1/3/2019 1005,1/3/2019 1005,1/3/2019 1005,2019-000006,CLOSED.  UTT/UTC ISSUED.
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : LAWS HALL,1/3/2019 1554,1/3/2019 1554,1/3/2019 1554,2019-000007,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : KING LIBRARY,1/3/2019 1907,1/3/2019 1907,1/3/2019 1907,2019-000008,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : SHRIVER CENTER,1/4/2019 1057,12/21/2018 1730,1/2/2019 0830,2019-000009,UNFOUNDED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : MILLETT ASSEMBLY HALL,1/6/2019 2018,1/6/2019 2018,1/6/2019 2018,2019-000011,CLOSED
PSYCHOLOGICAL EMERGENCY,CITY OF OXFORD : SYCAMORE ST,1/7/2019 1144,1/7/2019 1144,1/7/2019 1144,2019-000012,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : BENTON HALL,1/7/2019 1453,1/7/2019 0900,1/7/2019 1300,2019-000013,CLOSED
SEX OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS,1/7/2019 1731,8/15/1989 0000,5/10/1993 0000,2019-000014,OPEN
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/8/2019 1030,1/21/2019 1000,1/23/2019 0800,2019-000041,CLOSED
THEFT : OF A MOTOR VEHICLE,MIAMI UNIVERSITY : OXFORD CAMPUS : MARCUM HOTEL AND CONFERENCE CENTER,1/8/2019 1530,1/8/2019 1445,1/8/2019 1500,2019-000016,CLOSED.  CLEARED BY ARREST
SEX OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS : HILLCREST HALL,1/8/2019 1535,8/27/2018 0001,12/15/2018 2359,2019-000017,OPEN
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS,1/8/2019 1555,12/1/2018 1200,1/26/2019 1200,2019-000015,CLOSED
DRUG VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : WITHROW HALL,1/8/2019 1709,1/8/2019 1709,1/8/2019 1720,2019-000019,CLOSED.  HANDLED BY RESIDENCE LIFE STAFF
CRIMINAL DAMAGING OR ENDANGERING,MIAMI UNIVERSITY : OXFORD CAMPUS : NORTH CAMPUS PARKING GARAGE,1/8/2019 1815,1/8/2019 1455,1/8/2019 1455,2019-000018,CLOSED.  CLEARED BY ARREST
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/11/2019 1152,1/7/2019 1300,1/11/2019 1000,2019-000021,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : HUGHES LABORATORIES,1/11/2019 1625,1/11/2019 1625,1/11/2019 1630,2019-000022,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : WARFIELD HALL,1/12/2019 0833,1/12/2019 0833,1/12/2019 0833,2019-000023,CLOSED
CANINE DEPLOYMENT,OTHER JURISDICTION,1/12/2019 1527,1/12/2019 1630,1/12/2019 2245,2019-000024,CLOSED
ALCOHOL VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/13/2019 0102,1/13/2019 0102,1/13/2019 0102,2019-000025,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : ARMSTRONG STUDENT CENTER,1/13/2019 0922,1/13/2019 0922,1/13/2019 0922,2019-000026,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,1/14/2019 0352,1/13/2019 1200,1/14/2019 0200,2019-000027,CLOSED
CANINE DEPLOYMENT,OTHER JURISDICTION,1/14/2019 0543,1/14/2019 0600,1/14/2019 1400,2019-000029,CLOSED
CANINE DEPLOYMENT,OTHER JURISDICTION,1/15/2019 1359,1/15/2019 1530,1/15/2019 2115,2019-000030,CLOSED
SEX OFFENSE : RAPE,MIAMI UNIVERSITY : OXFORD CAMPUS,1/16/2019 1152,11/2/2015 0001,11/2/2015 2359,2019-000031,OPEN
DATING VIOLENCE,MIAMI UNIVERSITY : OXFORD CAMPUS,1/16/2019 1152,11/2/2015 0001,11/2/2015 2359,2019-000031,OPEN
PARKING VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : EMERSON HALL,1/16/2019 1200,11/26/2018 1102,11/26/2018 1102,2019-000033,OPEN
STALKING,OTHER JURISDICTION,1/16/2019 1629,12/17/2018 0000,1/16/2019 1300,2019-000032,CLOSED. REFERRED TO OTHER LE AGENCY
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : COLLINS HALL,1/17/2019 1734,1/17/2019 1734,1/17/2019 1800,2019-000034,CLOSED
TRAFFIC CRASH,MIAMI UNIVERSITY : OXFORD CAMPUS : YAGER STADIUM,1/17/2019 2118,1/17/2019 2118,1/17/2019 2200,2019-000035,CLOSED
