IncidentType,Location,ReportedTime,IncidentStart,IncidentEnd,CaseNumber,Disposition
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : KING LIBRARY,1/1/2017 0238,1/1/2017 0238,1/1/2017 0238,2017-000001,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : WILSON HALL,1/1/2017 1153,1/1/2017 1153,1/1/2017 1153,2017-000002,CLOSED
WARRANT SERVICE,MIAMI UNIVERSITY : OXFORD CAMPUS : OUTER AREAS,1/1/2017 2131,1/1/2017 2131,1/1/2017 2131,2017-000003,CLOSED.  CLEARED BY ARREST
BURGLARY,MIAMI UNIVERSITY : OXFORD CAMPUS : NON CAMPUS PROPERTY : OFF SITE LOCATION,1/3/2017 1344,1/1/2017 0300,1/1/2017 0300,2017-000005,CLOSED. REFERRED TO OTHER LE AGENCY
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : MILLETT ASSEMBLY HALL,1/3/2017 1457,1/3/2017 1500,1/3/2017 1550,2017-000004,CLOSED
DATING VIOLENCE,MIAMI UNIVERSITY : OXFORD CAMPUS,1/4/2017 1410,12/1/2013 0000,5/31/2016 0000,2017-000007,CLOSED. REFERRED TO OTHER LE AGENCY
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : MILLETT ASSEMBLY HALL,1/4/2017 1446,1/4/2017 1500,1/4/2017 1545,2017-000006,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : WILSON HALL,1/4/2017 2325,1/4/2017 2325,1/4/2017 2325,2017-000008,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : WILSON HALL,1/5/2017 0056,1/5/2017 0056,1/5/2017 0056,2017-000009,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : ARMSTRONG STUDENT CENTER,1/5/2017 0418,1/5/2017 0418,1/5/2017 0418,2017-000010,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HALL AUDITORIUM,1/6/2017 0505,1/6/2017 0505,1/6/2017 0505,2017-000011,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : ARMSTRONG STUDENT CENTER,1/6/2017 0506,1/6/2017 0506,1/6/2017 0506,2017-000012,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : WESTERN MAINTENANCE BLDG,1/6/2017 1057,1/6/2017 1057,1/6/2017 1057,2017-000013,CLOSED
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : GOGGIN ICE CENTER,1/6/2017 1456,1/6/2017 1500,1/6/2017 1600,2017-000014,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HALL AUDITORIUM,1/7/2017 0640,1/7/2017 0640,1/7/2017 0640,2017-000015,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : SHRIVER CENTER,1/7/2017 2048,10/15/2016 1600,10/15/2016 2230,2017-000016,OPEN
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HALL AUDITORIUM,1/9/2017 2057,1/9/2017 2057,1/9/2017 2057,2017-000017,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HALL AUDITORIUM,1/10/2017 0709,1/10/2017 0709,1/10/2017 0709,2017-000018,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : NORTH CAMPUS PARKING GARAGE,1/10/2017 1942,1/10/2017 1942,1/10/2017 1942,2017-000019,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : GOGGIN ICE CENTER,1/11/2017 0338,1/11/2017 0338,1/11/2017 0338,2017-000020,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HALL AUDITORIUM,1/11/2017 0645,1/11/2017 0645,1/11/2017 0645,2017-000021,CLOSED
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : MILLETT ASSEMBLY HALL,1/11/2017 1448,1/11/2017 1500,1/11/2017 1545,2017-000022,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : GOGGIN ICE CENTER,1/12/2017 0130,1/12/2017 0130,1/12/2017 0130,2017-000023,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : HALL AUDITORIUM,1/12/2017 0647,1/12/2017 0647,1/12/2017 0647,2017-000024,CLOSED
CANINE DEPLOYMENT,CITY OF OXFORD : UNIVERSITY PARK BLVD,1/12/2017 1407,1/12/2017 1407,1/12/2017 1545,2017-000026,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : SATELLITE FACILITY,1/12/2017 1415,1/12/2017 0930,1/12/2017 1415,2017-000025,CLOSED
TRAFFIC LAW VIOLATION,CITY OF OXFORD : SPRING ST,1/13/2017 0228,1/13/2017 0228,1/13/2017 0228,2017-000027,CLOSED.  UTT/UTC ISSUED.
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : MINNICH HALL,1/13/2017 0429,1/13/2017 0429,1/13/2017 0429,2017-000028,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : DODDS HALL,1/13/2017 1642,1/13/2017 1642,1/13/2017 1642,2017-000029,CLOSED
CANINE DEPLOYMENT,MIAMI UNIVERSITY : OXFORD CAMPUS : MILLETT ASSEMBLY HALL,1/14/2017 1103,1/14/2017 1100,1/14/2017 1200,2017-000030,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : PEABODY HALL,1/17/2017 0817,1/17/2017 0817,1/17/2017 0900,2017-000031,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : GOGGIN ICE CENTER,1/17/2017 1525,1/17/2017 1525,1/17/2017 1525,2017-000032,CLOSED
