IncidentType,Location,ReportedTime,IncidentStart,IncidentEnd,CaseNumber,Disposition
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,CITY OF OXFORD : OXFORD TRENTON  RD SR73,1/1/2021 2143,1/1/2021 2143,1/1/2021 2143,2021-000001,CLOSED.  CLEARED BY ARREST
TRAFFIC LAW VIOLATION : DRIVING UNDER SUSPENSION,CITY OF OXFORD : OXFORD TRENTON  RD SR73,1/1/2021 2143,1/1/2021 2143,1/1/2021 2143,2021-000001,CLOSED.  CLEARED BY ARREST
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS,1/2/2021 1247,12/1/2020 0000,1/2/2021 1247,2021-000003,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : CENTER FOR PERFORMING ARTS,1/4/2021 0524,12/18/2020 0001,1/4/2021 0524,2021-000002,OPEN
PASSING BAD CHECKS,MIAMI UNIVERSITY,1/5/2021 1144,12/31/2020 0000,1/4/2021 2359,2021-000005,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : RECYCLING CENTER,1/6/2021 0749,1/6/2021 0749,1/6/2021 0749,2021-000006,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,1/6/2021 0810,12/18/2020 1600,1/6/2021 0810,2021-000007,CLOSED
TRAFFIC CRASH,MIAMI UNIVERSITY : OXFORD CAMPUS : SHRIVER CENTER,1/6/2021 1525,1/6/2021 1525,1/6/2021 1525,2021-000008,CLOSED.  UTT/UTC ISSUED.
TELECOMMUNICATIONS HARASSMENT,MIAMI UNIVERSITY,1/11/2021 0850,1/8/2021 1130,1/8/2021 1130,2021-000010,OPEN
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/14/2021 0349,1/14/2021 0015,1/14/2021 0500,2021-000011,CLOSED
TRAFFIC LAW VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : PATTERSON AVE (N. 0-520 BLK),1/14/2021 1236,1/14/2021 1236,1/14/2021 1250,2021-000012,CLOSED.  UTT/UTC ISSUED.
SEX OFFENSE : RAPE,OTHER JURISDICTION,1/15/2021 1518,11/21/2020 0000,11/21/2020 0000,2021-000013,CLOSED. REFERRED TO OTHER LE AGENCY
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : PRESIDENTS HALL,1/18/2021 1309,1/18/2021 1309,1/18/2021 1333,2021-000014,CLOSED
WELFARE CHECK,MIAMI UNIVERSITY : OXFORD CAMPUS : MCGUFFEY HALL,1/19/2021 1012,1/19/2021 1012,1/19/2021 1200,2021-000015,CLOSED
DRUG VIOLATION : VERBAL WARNING,MIAMI UNIVERSITY : OXFORD CAMPUS : MINNICH HALL,1/19/2021 2048,1/19/2021 2048,1/19/2021 2048,2021-000018,CLOSED. REFERRED TO COMMUNITY STANDARDS
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : BRANDON HALL,1/19/2021 2151,1/19/2021 2151,1/19/2021 2151,2021-000019,CLOSED
SEX OFFENSE,UNKNOWN,1/19/2021 2359,Unknown,Unknown,2021-000016,OPEN
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : PHILLIPS HALL,1/20/2021 1139,11/20/2020 0000,1/20/2021 1200,2021-000020,UNFOUNDED
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,1/20/2021 2220,1/20/2021 2220,1/20/2021 2220,2021-000021,CLOSED.  CLEARED BY SUMMONS
MEDICAL : EMERGENCY,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,1/20/2021 2220,1/20/2021 2220,1/20/2021 2220,2021-000021,CLOSED.  CLEARED BY SUMMONS
