IncidentType,Location,ReportedTime,IncidentStart,IncidentEnd,CaseNumber,Disposition
TRAFFIC CRASH,MIAMI UNIVERSITY : OXFORD CAMPUS : SWING HALL,1/1/2015 1815,1/1/2015 1815,1/1/2015 1815,2015-000001,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : HOYT HALL,1/2/2015 0805,1/2/2015 0805,1/2/2015 0805,2015-000002,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : SHIDELER HALL,1/2/2015 1251,1/2/2015 1251,1/2/2015 1251,2015-000003,CLOSED
THEFT : OF A MOTOR VEHICLE,MIAMI UNIVERSITY : OXFORD CAMPUS : ALUMNI HALL,1/2/2015 1426,1/2/2015 1330,1/2/2015 1400,2015-000004,UNFOUNDED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : LAWS HALL,1/2/2015 1730,1/2/2015 1730,1/2/2015 1730,2015-000005,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/5/2015 0940,1/5/2015 0940,1/5/2015 0940,2015-000007,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/5/2015 0955,1/5/2015 0955,1/5/2015 0955,2015-000011,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/5/2015 1015,1/5/2015 1015,1/5/2015 1015,2015-000009,CLOSED
THEFT,MIAMI UNIVERSITY : OXFORD CAMPUS : RECREATIONAL SPORTS CENTER,1/5/2015 2038,1/5/2015 1915,1/5/2015 2030,2015-000006,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/6/2015 0940,12/17/2014 0700,12/17/2014 0600,2015-000010,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/6/2015 0941,12/22/2014 0941,12/22/2014 0941,2015-000008,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/6/2015 0957,1/6/2015 1300,1/6/2015 1300,2015-000012,CLOSED
FORENSIC EXAM,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,1/6/2015 1004,12/30/2014 1300,1/9/2015 1400,2015-000013,CLOSED
PROPERTY : DAMAGE,MIAMI UNIVERSITY : OXFORD CAMPUS : MARCUM HOTEL AND CONFERENCE CENTER,1/6/2015 1416,1/6/2015 1416,1/6/2015 1416,2015-000014,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : BOYD HALL,1/7/2015 0535,1/7/2015 0535,1/7/2015 0535,2015-000015,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : ALUMNI HALL,1/7/2015 0639,1/7/2015 0639,1/7/2015 0710,2015-000016,CLOSED. REFERRED TO OTHER LE AGENCY
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : RICHARD HALL,1/7/2015 1419,1/7/2015 1419,1/7/2015 1419,2015-000017,CLOSED
ALARM,MIAMI UNIVERSITY : OXFORD CAMPUS : PULLEY PAVILLION,1/7/2015 1626,1/7/2015 1626,1/7/2015 1626,2015-000018,CLOSED
ALARM : FIRE,MIAMI UNIVERSITY : OXFORD CAMPUS : ALUMNI HALL,1/8/2015 0600,1/8/2015 0600,1/8/2015 0620,2015-000019,CLOSED
